pais,coordinates
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.055702, -15.836798]"
brasil,"[-48.05555139, -16.02296323]"
brasil,"[-48.05545, -16.02229]"
brasil,"[-48.05149555, -15.83977911]"
brasil,"[-48.05149555, -15.83977911]"
brasil,"[-48.05138162, -15.79457876]"
brasil,"[-48.05023691, -15.83628898]"
brasil,"[-48.049423, -16.0056322]"
brasil,"[-48.04681589, -15.83451239]"
brasil,"[-48.04681589, -15.83451239]"
brasil,"[-48.04581894, -15.98561823]"
brasil,"[-48.04235285, -15.79260062]"
brasil,"[-48.04138815, -15.9736785]"
brasil,"[-48.03734117, -15.83397536]"
brasil,"[-48.036463, -15.8345184]"
brasil,"[-48.036463, -15.8345184]"
brasil,"[-48.03429517, -15.84142909]"
brasil,"[-48.03223588, -15.83807419]"
brasil,"[-48.03211872, -15.83812008]"
brasil,"[-48.0276799, -15.80314]"
brasil,"[-48.027543, -15.84158072]"
brasil,"[-48.02570678, -15.8690132]"
brasil,"[-48.0228739, -15.84209754]"
brasil,"[-48.02058382, -20.18151906]"
brasil,"[-48.01944729, -15.81673202]"
brasil,"[-48.0192896, -16.0686204]"
brasil,"[-48.01906446, -15.83583448]"
brasil,"[-48.01831818, -15.88028336]"
brasil,"[-48.01746368, -15.80175131]"
brasil,"[-48.01746368, -15.80175131]"
brasil,"[-48.01746368, -15.80175131]"
brasil,"[-48.01559155, -15.81571038]"
brasil,"[-48.0136764, -15.8886762]"
brasil,"[-48.01207781, -15.831625]"
brasil,"[-48.00922372, -15.87881575]"
brasil,"[-48.002958, -15.793563]"
brasil,"[-48.002958, -15.793563]"
brasil,"[-47.98938194, -15.94501204]"
brasil,"[-47.98938194, -15.94501204]"
brasil,"[-47.98584362, -15.84678773]"
brasil,"[-47.9852, -16.0712]"
brasil,"[-47.9852, -16.0712]"
brasil,"[-47.98347929, -16.08618488]"
brasil,"[-47.98347929, -16.08618488]"
brasil,"[-47.98347929, -16.08618488]"
brasil,"[-47.98347929, -16.08618488]"
brasil,"[-47.98103389, -15.88774623]"
brasil,"[-47.97730427, -15.84690686]"
brasil,"[-47.97730427, -15.84690686]"
brasil,"[-47.97723951, -15.84677341]"
brasil,"[-47.97551394, -21.23840243]"
