pais,coordinates
uruguay,"{u'type': u'Point', u'coordinates': [-58.2117543, -33.5277228]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.21121, -34.772805]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.1972, -33.5442]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.1667, -34.7833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0975, -34.8403]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0833, -29.2]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0756, -32.3214]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0756, -32.3214]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.068155, -32.3218525]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0674439, -32.3140261]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0674439, -32.3140261]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0667327, -32.3138259]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0667327, -32.3138259]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0667327, -32.3138259]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0658629, -32.3214161]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0641377, -32.322889]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.05, -32.9833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0478, -34.8989]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0296079, -31.3821416]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0295279, -33.2698807]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0295164, -33.2698777]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0295159, -33.2698763]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0295156, -33.2698761]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0294934, -33.2697981]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0275142, -33.2674709]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0264304, -33.2651608]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.0192, -33.2558]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.015355, -31.385551]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.015355, -31.385551]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.97928, -30.758945]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9696693, -31.38097]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9667, -34.8833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.955884, -34.91566]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.95567572, -34.91561502]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9546, -34.9213]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9546, -34.9213]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9546, -34.9213]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9546, -34.9213]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9546, -34.9213]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9546, -34.9213]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9537221, -31.3992434]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.95, -34.91666667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9438957, -34.9160993]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9239, -34.905]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9215955, -34.9181086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9214064, -34.9181825]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.91977701, -30.99815831]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9064914, -31.4570727]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.9, -34.86666667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.8667, -36.8667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.85, -35.0333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.85, -34.4667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.85, -34.4667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.84954368, -34.47056763]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.84954368, -34.47056763]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.84852912, -34.47138612]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.84852912, -34.47138612]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.84515053, -34.45472818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.73437244, -37.94012915]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.67535941, -36.31876756]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.6667, -36.3333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.6167, -34.2833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-57.6167, -34.2833]}"
